id,source_url,source_name,title,publication_date,targeted_vertical,country,summary,raw_excerpt,date_of_scrape,signal_type
1,https://www.bipt.be/consumers/telephone-internet-tv/comparing-operators/network-coverage,BIPT / IBPT,Network coverage,5/1/2026,Industry & Manufacturing,Belgium,"BIPT’s network coverage portal and measurement campaigns provide granular performance baselines across Belgium, including mobile and 5G coverage statistics that regulators and competitors use to benchmark rollouts. The regulator highlights different measurement initiatives and their purpose, which operators (including non-Orange competitors) cite when claiming superior coverage or performance for verticals such as manufacturing and ports.",The BIPT carries out various measurement campaigns and studies regarding mobile network performance and coverage.,2026-08-19T09:05:28.8008228,regulation
2,https://annual-report.bipt.be/wp-content/uploads/2026/05/BIPT-Annual-Report-2025.pdf,BIPT Annual Report 2025 (PDF),BIPT Annual report 2025,5/12/2026,Public Sector & Defense,Belgium,"BIPT’s 2025 annual report documents regulatory actions, monitoring of 5G inclusion in market analyses, scarce resources management, and oversight of new operators and antenna sites. The report provides evidence that Belgian competitors (notably Proximus and newcomers) are progressing network expansions and new infrastructure deployments faster than Orange in some segments and that regulatory monitoring is active for competition and sustainability.","The third edition of the qualitative study on fixed and mobile networks, now including 5G, confirms the good to very good coverage in Belgium.",2026-08-19T09:05:29.5241566,regulation
4,https://digital-strategy.ec.europa.eu/en/miscellaneous/germany-deutsche-telekom-deploys-private-5g-campus-network-port-hamburg,EU Digital Strategy (European Commission portal),Germany: Deutsche Telekom deploys private 5G campus network at Port of Hamburg,7/9/2026,Industry & Manufacturing (Ports / Logistics),Germany,"An EU digital strategy notice details Deutsche Telekom and Ericsson deploying a private 5G campus at Hamburg’s Altenwerder container terminal, covering ~1 km2 and connecting vehicles, sensors and IT systems in real time. This is an operational logistics deployment illustrating DT’s rapid execution in ports and smart logistics—areas where Orange has fewer publicized equivalents in Germany.","Deutsche Telekom, together with Ericsson, has deployed a private 5G campus network at the Container Terminal Altenwerder... covering an area of one square kilometre.",2026-08-19T09:05:31.1543972,regulation
5,https://tecknexus.com/5gusecase/deutsche-telekoms-private-5g-boosts-german-paper-mill-operations/,TeckNexus,Deutsche Telekom’s Private 5G Boosts German Paper Mill Operations,5/29/2024,Industry & Manufacturing,Germany,"Case study of Deutsche Telekom’s private 5G deployment at Hamburger Containerboard’s mill in Spremberg, highlighting real-world efficiency, safety, and large-area coverage benefits across a 350,000 m2 site. The deployment demonstrates DT’s emphasis on sector-specific private network rollouts and fast go-to-market for industrial customers compared with operators with less industrial traction.","Deutsche Telekom has implemented a private 5G network at Hamburger Containerboard's paper mill... enhancing operational efficiency and security across 350,000 square meters.",2026-08-19T09:05:31.9516539,analyst_report
6,https://www.rcrwireless.com/20260212/private-5g/vodafone-private-5g-173-vendors,RCR Wireless News,"Vodafone on private 5G – 173 networks, 20 countries, 60% on site, new vendors coming",2/12/2026,Industry & Manufacturing,Global,"Vodafone reported 173 private 5G networks across ~20 countries and noted a high proportion of live on-site deployments. The article underscores Vodafone’s scale in private networks and its vendor openness—allowing it to capture enterprise projects across manufacturing, ports and logistics faster than rivals still standardising offers.",Vodafone Business detailed 173 live private 5G deployments in around 20 countries... and delivered a candid verdict on the industry’s slow start.,2026-08-19T09:05:32.6936489,news
8,https://www.telecomstechnews.com/news/verizon-deploys-ericsson-private-5g-edge-networks-worldwide/,TelecomsTechNews,Verizon deploys Ericsson private 5G edge networks worldwide,6/16/2026,Industry & Manufacturing,Global,"Verizon expanded its alliance with Ericsson to deliver localized private 5G plus edge computing and cloud orchestration to global enterprises, enabling near-real-time processing for manufacturing and logistics. The move shows Verizon leveraging global operator-vendor partnerships and metro/fiber assets to scale enterprise edge services faster than competitors lacking the same integrated edge-fiber footprint.",Verizon has expanded its private 5G alliance with Ericsson to deliver localised edge computing and cloud orchestration to global enterprises.,2026-08-19T09:05:34.2138690,news
9,https://aws.amazon.com/blogs/industries/architecting-operational-models-for-private-mec-using-aws-hybrid-and-edge-services-with-verizon-private-5g-networks/,AWS Industry Blog,Architecting operational models for private MEC using AWS Hybrid and Edge services with Verizon Private 5G Networks,10/10/2024,Industry & Manufacturing,Global,"AWS documents operational models combining Verizon’s managed private MEC and private 5G to deliver low-latency on-premise processing and hybrid cloud orchestration, targeted at manufacturing and logistics. This demonstrates Verizon’s ecosystem approach with hyperscalers to offer enterprise-grade AI/edge services, a strategic advantage against operators slower to partner at hyperscaler depth.","Verizon’s managed private MEC solutions... bring near real-time insights, decision-making, and data security to on-premises locations of enterprise customers.",2026-08-19T09:05:34.9569885,news
10,https://www.telekom.com/en/company/details/5g-technology-in-campus-networks-556692,Deutsche Telekom (company insights),5G technology in industrial campus networks,6/1/2026,Industry & Manufacturing,Europe,"Deutsche Telekom’s technical briefing on 5G campus networks explains architectures (private vs hybrid), the dual-slice approach, and benefits for industrial automation. It highlights DT’s practical deployments and productisation of campus offerings—emphasising repeatable, cost-controlled solutions that let DT scale faster than operators without such packaged offers.","The two are still connected... to enable companies to communicate with partners, external service providers, or suppliers. Experts call this combination... a 'dual slice solution'.",2026-08-19T09:05:35.7781081,news
11,https://www.telefonica.com/en/communication-room/press-room/telefonica-leader-2026-gartner-magic-quadrant-4g-5g-private-mobile-network-services/,Telefónica (press release),Telefónica again a Leader in 2026 Gartner® Magic Quadrant™ for 4G and 5G Private Mobile Network Services,3/15/2026,Industry & Manufacturing / Finance & Insurance,Global,"Telefónica announces leading placement in Gartner’s 2026 Magic Quadrant for private mobile network services, citing a multi-vendor approach, advanced industrial services and hybrid private/public network models. This third-party recognition supports Telefónica’s market positioning and enterprise traction, indicating it is capturing private-network and cloud-integration deals in verticals like finance and industry more effectively than operators without similar endorsements.","Telefónica’s global 4G and 5G private network offering... features a multi-vendor approach, an advanced industrial services...",2026-08-19T09:05:36.5520106,press_release
12,https://www.rcrwireless.com/20260409/internet-of-things/att-private-5g-ai-grid,RCR Wireless News,"Cool heads, big ideas – AT&T ties private 5G to AI grid",4/9/2026,IT Services & Cloud Integration,Global,"RCR reports AT&T’s strategy linking private 5G deployments to an 'AI grid' approach with partners like Cisco and Nvidia—focusing on regional inference, edge AI, and cloud-to-edge orchestration. The strategic narrative shows AT&T pursuing integrated AI+connectivity solutions that can outpace operators offering connectivity-only propositions.","AT&T is positioning private 5G... tying its future instead to edge AI, spectrum pragmatism, and a broader 'AI grid' vision with partners like Cisco and Nvidia.",2026-08-19T09:05:37.3184395,news
